term,coef,se_cluster,p_value,model
const,-1.7696178561404672e-15,2.5905254778225577e-15,0.49453636207513296,A_belief_change_on_arm
is_forecast,-0.07700138118971933,0.3062664697286011,0.8014897462719721,A_belief_change_on_arm
is_insurance,2.1921425113722785e-15,3.7824326088847745e-15,0.5622121107729999,A_belief_change_on_arm
const,11739.547283715945,85.49370601094721,0.0,B_investment_on_belief_and_arm
belief_change,-18.712454323421895,17.49712310568565,0.2848629315246962,B_investment_on_belief_and_arm
is_forecast,-149.75142346786106,121.41137360817042,0.21741847111542578,B_investment_on_belief_and_arm
is_insurance,882.4228982535718,125.87954741608276,2.3821975854363196e-12,B_investment_on_belief_and_arm
const,11739.869903095161,85.52359430488094,0.0,C_investment_interactions
belief_change,-2500141309775286.0,1831082782173698.5,0.172130644207802,C_investment_interactions
is_forecast,-147.39615165818304,121.38759230401381,0.2246482857677028,C_investment_interactions
is_insurance,882.0303529519646,125.9230288392881,2.4783431558725727e-12,C_investment_interactions
belief_x_forecast,2500141309775259.0,1844497098993770.8,0.175271170172562,C_investment_interactions
belief_x_insurance,0.0,0.0,,C_investment_interactions
